,id,title,description,price,link,image_link,brand,color,shipping,size,custom_label_0,custom_label_1,custom_label_2,category
0,1,Set of 3 Rani Haar and Earrings by Touchstone,"Online Shopping for Set of 3 Rani Haar and Earrings by Touchstone in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",1800.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/necklace-sets/set-of-3-rani-haar-and-earrings-by-touchstone/1,https://cdn.ezmall.com/0/images/product/1/001-a.jpg,Touchstone,MULTI,51.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
1,5,Lotus Herbals 5 Pc Anti Ageing Kit,"Online Shopping for Lotus Herbals 5 Pc Anti Ageing Kit in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",1765.00 ,https://www.ezmall.com/women/beauty-personal-care/body-skin-care/facial-kits/lotus-herbals-5-pc-anti-ageing-kit/5,https://cdn.ezmall.com/0/images/product/5/Lotus_Herbals_5 _Pc._Anti_Ageing_Kit_002.jpg,Lotus Herbals,"MULTI,GOLD",101.00 INR,no size,Women,Beauty & Personal Care,Body & Skin Care,Health & Beauty
2,27,Touchstone 6 Pair Ethnic Earring Collection,"Online Shopping for Touchstone 6 Pair Ethnic Earring collection in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",1800.00 ,https://www.ezmall.com/women/jewellery/artificial-jewellery/earrings/touchstone-6-pair-ethnic-earring-collection-/9,https://cdn.ezmall.com/0/images/product/27/001-a.jpg,Touchstone,no color,51.00 INR,no size,Women,Jewellery,Artificial Jewellery,Apparel & Accessories
3,47,Khadi Mauri 12 Pc. Herbal Skin Care Kit not use,"Wondering if one kit alone could suffice the beauty needs of one family? From dry scalp to hair fall, here's everything you need for all your skin and hair care problems.",1600.00 ,https://www.ezmall.com/women/beauty-personal-care/body-skin-care/skin-care-combos/khadi-mauri-12-pc.-herbal-skin-care-kit-not-use/35,https://cdn.ezmall.com/0/images/product/47/Khadi_Mauri_12_Pc._Herbal_Skin_Care_Kit_001.jpg,Khadi Mauri,no color,51.00 INR,no size,Women,Beauty & Personal Care,Body & Skin Care,Health & Beauty
4,53,2 Rajasthani Bed Sheets & 4 Pillow Covers Not USE,"Inspired from the rich architectural heritage of Rajasthan, these bed sheets are ideal for daily use and designed for a king size bed. 100% cotton material.",5000.00 ,https://www.ezmall.com/home-kitchen/furnishings-furniture/bed-linen/bed-sheets/2-rajasthani-bed-sheets-4-pillow-covers-not-use/21,https://cdn.ezmall.com/0/images/product/53/001nav.jpg,Bella Casa,no color,101.00 INR,no size,Home & Kitchen,Furnishings & Furniture,Bed Linen,Home & Garden
5,59,Tefal 3 Pc. Premium Non-stick Cookware Set,"3 Pc. non stick cookware set by Tefal powered with Thermospot technology. Compatible with all stovetops, it comes with 2 years brand warranty.",4599.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/pots-pans/tefal-3-pc.-premium-non-stick-cookware-set/39,https://cdn.ezmall.com/0/images/product/59/Tefal-3-Pc-Premium-Non-stick-Cookware-Set-001.jpg,Tefal,no color,201.00 INR,no size,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
6,65,Inalsa 2 Ltr. Electric Deep Fryer,"If you like it yummy and don't feel like giving up on taste, this deep fryer is waiting to enter your cooking space. Stainless steel body & fully detachable parts. 2years Brand Warranty",4095.00 ,https://www.ezmall.com/electronics-appliances/kitchen-appliances/deep-fryer/inalsa-2-ltr.-electric-deep-fryer/61,https://cdn.ezmall.com/0/images/product/65/Inalsa-2-Ltr-Electric-Deep-Fryer-001.jpg,Inalsa,no color,201.00 INR,no size,Electronics & Appliances,Kitchen Appliances,Deep Fryer,Home & Garden
7,67,Pick Any 1 - 70 L Rucksack by President Bags,"Pack all your essentials in this water-resistant 70L rucksack with 13 pockets and travel like you wouldn't want to come back ever again. Great for hiking, trekking and other solo adventure trips for both men and women.",2999.00 ,https://www.ezmall.com/men/men-accessories/bags-luggage/backpacks/pick-any-1-70-l-rucksack-by-president-bags/63,https://cdn.ezmall.com/0/images/product/67/001nav.jpg,President,"Blue,Green",151.00 INR,no size,Men,Men Accessories,Bags & Luggage,Luggage & Bags
8,79,Prestige Clip on Pressure Cooker 3Ltr. & 5Ltr.,"Online Shopping for Prestige Clip on Pressure Cooker 3Ltr. & 5Ltr. in India at discounted price. Check out latest collection at ezmall.com,  &#x2713; CASH on delivery &#x2713; Fast Shipping &#x2713; Hassle FREE Return Policy.",3590.00 ,https://www.ezmall.com/home-kitchen/kitchen-dining/cookware-serveware/prestige-clip-on-pressure-cooker-3ltr.-5ltr./151,https://cdn.ezmall.com/0/images/product/79/Pick-Any-1---Prestige-Clip-on-Pressure-Cooker-(-3Ltr-and-5Ltr)-001.jpg,Prestige,no color,151.00 INR,"3Ltr,5Ltr",Home & Kitchen,Kitchen & Dining,Cookware & Serveware,Home & Garden
9,81,Inalsa Arizona Rotisserie Griller,"Barbeque fish tikka, mutton tikka, paneer tikka and more right at the convenience of your kitchen with this rotisserie griller by Inalsa. 1 year brand warranty.",6995.00 ,https://www.ezmall.com/electronics-appliances/kitchen-appliances/griller/inalsa-arizona-rotisserie-griller/159,https://cdn.ezmall.com/0/images/product/81/Inalsa-Arizona-Rotisserie-Griller-001.jpg,Inalsa,no color,201.00 INR,no size,Electronics & Appliances,Kitchen Appliances,Griller,Home & Garden
