,title,brand,category,custom_label_0,custom_label_1,custom_label_2,feature
0,Set of 3 Rani Haar and Earrings by Touchstone,Touchstone,Apparel & Accessories,Women,Jewellery,Artificial Jewellery,set of 3 rani haar and earrings by touchstone apparel & accessories touchstone women jewellery artificial jewellery
1,Lotus Herbals 5 Pc Anti Ageing Kit,Lotus Herbals,Health & Beauty,Women,Beauty & Personal Care,Body & Skin Care,lotus herbals 5 pc anti ageing kit health & beauty lotus herbals women beauty & personal care body & skin care
2,Touchstone 6 Pair Ethnic Earring Collection,Touchstone,Apparel & Accessories,Women,Jewellery,Artificial Jewellery,touchstone 6 pair ethnic earring collection apparel & accessories touchstone women jewellery artificial jewellery
3,Khadi Mauri 12 Pc. Herbal Skin Care Kit not use,Khadi Mauri,Health & Beauty,Women,Beauty & Personal Care,Body & Skin Care,khadi mauri 12 pc. herbal skin care kit not use health & beauty khadi mauri women beauty & personal care body & skin care
4,2 Rajasthani Bed Sheets & 4 Pillow Covers Not USE,Bella Casa,Home & Garden,Home & Kitchen,Furnishings & Furniture,Bed Linen,2 rajasthani bed sheets & 4 pillow covers not use home & garden bella casa home & kitchen furnishings & furniture bed linen
5,Tefal 3 Pc. Premium Non-stick Cookware Set,Tefal,Home & Garden,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,tefal 3 pc. premium non-stick cookware set home & garden tefal home & kitchen kitchen & dining cookware & serveware
6,Inalsa 2 Ltr. Electric Deep Fryer,Inalsa,Home & Garden,Electronics & Appliances,Kitchen Appliances,Deep Fryer,inalsa 2 ltr. electric deep fryer home & garden inalsa electronics & appliances kitchen appliances deep fryer
7,Pick Any 1 - 70 L Rucksack by President Bags,President,Luggage & Bags,Men,Men Accessories,Bags & Luggage,pick any 1 - 70 l rucksack by president bags luggage & bags president men men accessories bags & luggage
8,Prestige Clip on Pressure Cooker 3Ltr. & 5Ltr.,Prestige,Home & Garden,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,prestige clip on pressure cooker 3ltr. & 5ltr. home & garden prestige home & kitchen kitchen & dining cookware & serveware
9,Inalsa Arizona Rotisserie Griller,Inalsa,Home & Garden,Electronics & Appliances,Kitchen Appliances,Griller,inalsa arizona rotisserie griller home & garden inalsa electronics & appliances kitchen appliances griller
10,Pack of 3 Cotton Bedsheets with 6 Pillow Covers by IWS,IWS,Home & Garden,Home & Kitchen,Furnishings & Furniture,Bed Linen,pack of 3 cotton bedsheets with 6 pillow covers by iws home & garden iws home & kitchen furnishings & furniture bed linen
11,Russell Hobbs Health Grill,Russell Hobbs,Kitchen,Electronics & Appliances,Kitchen Appliances,Snacks maker,russell hobbs health grill kitchen russell hobbs electronics & appliances kitchen appliances snacks maker
12,Wonderchef 3 Pc. Non Stick Cookware Set,Wonderchef,Home & Garden,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,wonderchef 3 pc. non stick cookware set home & garden wonderchef home & kitchen kitchen & dining cookware & serveware
13,Wonderchef Waffle Maker,Wonderchef,Home & Garden,Electronics & Appliances,Kitchen Appliances,Sandwich Maker,wonderchef waffle maker home & garden wonderchef electronics & appliances kitchen appliances sandwich maker
14,Ceramic Coated 4.3Ltr Biryani Pot,Wonderchef,Home & Garden,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,ceramic coated 4.3ltr biryani pot home & garden wonderchef home & kitchen kitchen & dining cookware & serveware
15,Ceramic Coated 2.5Ltr Biryani Pot,Wonderchef,Home & Garden,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,ceramic coated 2.5ltr biryani pot home & garden wonderchef home & kitchen kitchen & dining cookware & serveware
16,Pringle 3 Pc. Riviera Non Stick Cookware Set,Pringle,Home & Garden,Home & Kitchen,Kitchen & Dining,Cookware & Serveware,pringle 3 pc. riviera non stick cookware set home & garden pringle home & kitchen kitchen & dining cookware & serveware
17,Pack of 4 Cotton sarees by Pavechas,Pavechas,Apparel & Accessories,Women,Ethnic Wear,Sarees & Blouses,pack of 4 cotton sarees by pavechas apparel & accessories pavechas women ethnic wear sarees & blouses
18,3 Pendant Sets and 1 Chain by Sheetal Jewellery,Sheetal Jewellery,Apparel & Accessories,Women,Jewellery,Artificial Jewellery,3 pendant sets and 1 chain by sheetal jewellery apparel & accessories sheetal jewellery women jewellery artificial jewellery
19,Pick Any 1 - Anarkali with Bottom Fabric by Rhythm Rajasthan,Rhythm Rajasthan,Apparel & Accessories,Women,Ethnic Wear,Kurtas & Suits,pick any 1 - anarkali with bottom fabric by rhythm rajasthan apparel & accessories rhythm rajasthan women ethnic wear kurtas & suits
20,Pack of 2 Kurtas by Rhythm Rajasthan,Rhythm Rajasthan,Apparel & Accessories,Women,Ethnic Wear,Kurtas & Suits,pack of 2 kurtas by rhythm rajasthan apparel & accessories rhythm rajasthan women ethnic wear kurtas & suits
